Gene_Name	log2FoldChange	pvalue	padj	Full Name	URL
Gigyf2	0.0651611953417725	0.0072409850663676	0.14778550784691	GRB10 interacting GYF protein 2(Gigyf2)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=227331&tool=geneReport
Mybbp1a	-0.0604909798218872	0.0078934416388788	0.153893363731565	MYB binding protein (P160) 1a(Mybbp1a)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=18432&tool=geneReport
Cacna1d	-0.132359878304935	0.0012428319345924	0.0688926009660494	calcium channel, voltage-dependent, L type, alpha 1D subunit(Cacna1d)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=12289&tool=geneReport
Krba1	-0.120006057289635	0.0019920464820014	0.0851583306062342	KRAB-A domain containing 1(Krba1)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=77827&tool=geneReport
Aktip	0.0869587969946888	0.004951032046621	0.124848635835117	AKT interacting protein(Aktip)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=14339&tool=geneReport
Kdm4c	0.0889057613044091	0.0096292592101561	0.165821507869013	lysine (K)-specific demethylase 4C(Kdm4c)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=76804&tool=geneReport
Tctn3	-0.0982747017651245	0.0029022532487306	0.100884261351054	tectonic family member 3(Tctn3)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=67590&tool=geneReport
Ankzf1	-0.146164511894932	0.0035014826644312	0.109705316389271	ankyrin repeat and zinc finger domain containing 1(Ankzf1)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=52231&tool=geneReport
Stk38	-0.101244083264718	0.0092467116604329	0.163112287869273	serine/threonine kinase 38(Stk38)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=106504&tool=geneReport
Gdpd3	-0.380351705385608	9.45055347938312e-05	0.0208312435282026	glycerophosphodiester phosphodiesterase domain containing 3(Gdpd3)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=68616&tool=geneReport
Hmox2	0.123984958644106	0.0075140291819346	0.149910576175112	heme oxygenase 2(Hmox2)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=15369&tool=geneReport
Nr4a1	0.432546517025328	3.50666999239745e-06	0.0046929263555399	nuclear receptor subfamily 4, group A, member 1(Nr4a1)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=15370&tool=geneReport
Ckap5	0.104342020973788	0.0091164918883056	0.161866375650563	cytoskeleton associated protein 5(Ckap5)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=75786&tool=geneReport
Itch	0.0934201725190954	0.0014927194386253	0.0743292302355766	itchy, E3 ubiquitin protein ligase(Itch)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=16396&tool=geneReport
Tmed2	0.0939703854015076	0.0004507589831536	0.0430888791243232	transmembrane p24 trafficking protein 2(Tmed2)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=56334&tool=geneReport
Ccdc62	-0.292479327431841	1.57026726831523e-05	0.0119569780375895	coiled-coil domain containing 62(Ccdc62)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=208908&tool=geneReport
Man2c1	-0.153534967556334	0.002676567539485	0.0974592079611292	mannosidase, alpha, class 2C, member 1(Man2c1)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=73744&tool=geneReport
Dusp6	0.192378290621542	0.0002715092321876	0.033861232033465	dual specificity phosphatase 6(Dusp6)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=67603&tool=geneReport
Stk24	0.098231755562693	0.0048138158473433	0.123066668558238	serine/threonine kinase 24(Stk24)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=223255&tool=geneReport
Zbtb11	0.117283168219072	0.0002542846401347	0.0324100477385367	zinc finger and BTB domain containing 11(Zbtb11)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=271377&tool=geneReport
Fbxw9	-0.126932346790332	0.0052563742999931	0.130049549457831	F-box and WD-40 domain protein 9(Fbxw9)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=68628&tool=geneReport
Hnrnpa1	0.0658465173062437	0.0096974680127376	0.165924156689134	heterogeneous nuclear ribonucleoprotein A1(Hnrnpa1)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=15382&tool=geneReport
Cdc5l	0.147299475554352	7.18621219949973e-05	0.0189476536010459	cell division cycle 5-like(Cdc5l)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=71702&tool=geneReport
Adamts9	-0.153871163085824	0.0087512443697391	0.159718575181921	ADAM metallopeptidase with thrombospondin type 1 motif 9(Adamts9)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=101401&tool=geneReport
Arhgef3	0.135912395547211	0.0015330841784134	0.0749970369889123	Rho guanine nucleotide exchange factor 3(Arhgef3)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=71704&tool=geneReport
Whamm	-0.109436092286937	7.5417422365584e-05	0.0190948760194808	WAS protein homolog associated with actin, golgi membranes and microtubules(Whamm)	https://davidbioinformatics.nih.gov/api.jsp?type=ENTREZ_GENE_ID&ids=434204&tool=geneReport
